relationship_id	type	start_id	end_id	properties	file_name
1	produce	1	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
2	produce	1	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""avicel"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""stable"", ""quantitative_value"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
3	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
4	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""avicel"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""stable"", ""quantitative_value"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
5	catalysis	2	4	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
6	catalysis	2	5	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""stable"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	han-2020-redesigning_transcription_factor_cre1.yml
7	produce	6	7	"{""temperature"": null, ""ph"": null, ""substrate"": ""benzyl alcohol"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	azzolini-2012-effects_of__i_torulaspora_delbru.yml
8	produce	6	8	"{""temperature"": null, ""ph"": null, ""substrate"": ""isoamyl acetate"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	azzolini-2012-effects_of__i_torulaspora_delbru.yml
9	catalysis	7	9	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	azzolini-2012-effects_of__i_torulaspora_delbru.yml
10	catalysis	8	10	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	azzolini-2012-effects_of__i_torulaspora_delbru.yml
11	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""glucose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
