node_id	type	name	identifier
1	microbiome	Penicillium oxalicum	Penicillium oxalicum
2	enzyme	cellulase	cellulase
3	microbiome	Trichoderma reesei	Trichoderma reesei
4	substrate	glucose	glucose
5	substrate	avicel	avicel
6	microbiome	Torulaspora delbrueckii	Torulaspora delbrueckii
7	enzyme	b-glucosidase	b-glucosidase
8	enzyme	esterase	esterase
9	substrate	benzyl alcohol	benzyl alcohol
10	substrate	isoamyl acetate	isoamyl acetate
11	microbiome	S288C-LCB4	S288C-LCB4
12	enzyme	LCB4	LCB4
13	substrate	acetic acid	acetic acid
14	substrate	furfural	furfural
15	substrate	vanillin	vanillin
16	microbiome	Aspergillus niger	Aspergillus niger
17	enzyme	cellobiose dehydrogenase	cellobiose dehydrogenase
18	enzyme	β-1,4-glucosidase	β-1,4-glucosidase
19	enzyme	manganese peroxidase	manganese peroxidase
20	substrate	lignocellulose	lignocellulose
21	substrate	cellulose	cellulose
22	microbiome	Escherichia coli	Escherichia coli
23	enzyme	Fab′	Fab′
24	enzyme	alkaline CMCase	alkaline CMCase
25	substrate	lactose	lactose
26	microbiome	Alcaligenes sp.	Alcaligenes sp.
27	enzyme	phytase	phytase
28	substrate	plant phytates	plant phytates
29	microbiome	Lactococcus lactis	Lactococcus lactis
30	enzyme	PepO1	PepO1
31	enzyme	PepC	PepC
32	enzyme	GapB	GapB
33	enzyme	Pmg	Pmg
34	enzyme	PdhE1β	PdhE1β
35	enzyme	PdhD	PdhD
36	enzyme	LplL	LplL
37	enzyme	Als	Als
38	enzyme	BglA	BglA
39	enzyme	RmlB	RmlB
40	enzyme	PurH	PurH
41	enzyme	GlyA	GlyA
42	enzyme	Fhs	Fhs
43	enzyme	GatA	GatA
44	enzyme	MetC	MetC
45	enzyme	ThrC	ThrC
46	enzyme	PepA	PepA
47	enzyme	trxB1	trxB1
48	substrate	oligopeptides	oligopeptides
49	substrate	3-phosphoglycerate	3-phosphoglycerate
50	substrate	pyruvate	pyruvate
51	substrate	glucose 6-phosphate	glucose 6-phosphate
52	substrate	dTDP-α-glucose	dTDP-α-glucose
53	substrate	purine	purine
54	substrate	serine	serine
55	substrate	formyltetrahydrofolate	formyltetrahydrofolate
56	substrate	glutamic acid-tRNA	glutamic acid-tRNA
57	substrate	cysteine	cysteine
58	substrate	threonine	threonine
59	substrate	NAD(P)H	NAD(P)H
60	enzyme	alcohol dehydrogenase	alcohol dehydrogenase
61	substrate	xylise	xylise
62	microbiome	Saccharomyces cerevisiae	Saccharomyces cerevisiae
63	microbiome	Zymomonas mobilis subsp. mobilis	Zymomonas mobilis subsp. mobilis
64	substrate	soybean meal hydrolyzates	soybean meal hydrolyzates
65	microbiome	Lactobacillus pentosus	Lactobacillus pentosus
66	enzyme	L-arabinose isomerase	L-arabinose isomerase
67	substrate	L-arabinose	L-arabinose
68	microbiome	Clostridium ljungdahlii	Clostridium ljungdahlii
69	enzyme	aldehyde oxidoreductase	aldehyde oxidoreductase
70	enzyme	rubrerythrin	rubrerythrin
71	substrate	acetate	acetate
72	microbiome	Ruminococcus albus	Ruminococcus albus
73	enzyme	cel5D	cel5D
74	microbiome	Lactobacillus crustorum	Lactobacillus crustorum
75	enzyme	β-glucuronidase	β-glucuronidase
76	microbiome	Bacillus subtilis natto	Bacillus subtilis natto
77	substrate	tea seed saponins	tea seed saponins
78	enzyme	enterohaemolysin	enterohaemolysin
79	substrate	erythrocytes	erythrocytes
80	enzyme	hEGF	hEGF
81	enzyme	alcoholic fermentation enzymes	alcoholic fermentation enzymes
82	enzyme	alcohol acetyltransferase	alcohol acetyltransferase
83	enzyme	ethanol acetyltransferase	ethanol acetyltransferase
84	enzyme	isoamylalcohol acetyltransferase	isoamylalcohol acetyltransferase
85	substrate	ethyl acetate	ethyl acetate
86	enzyme	Gap1 permease	Gap1 permease
87	substrate	arginine	arginine
88	substrate	glutamine	glutamine
89	substrate	alanine	alanine
90	enzyme	CAT	CAT
91	enzyme	cyanuric acid hydrolase	cyanuric acid hydrolase
92	microbiome	Moorella thermoacetica	Moorella thermoacetica
93	substrate	cyanuric acid	cyanuric acid
94	enzyme	cytochrome c	cytochrome c
95	enzyme	MPK1	MPK1
96	substrate	isoamyl alcohol	isoamyl alcohol
97	microbiome	Clostridium butyricum	Clostridium butyricum
98	enzyme	Celluclast 1.5 L	Celluclast 1.5 L
99	substrate	xylose	xylose
100	enzyme	carbonyl reductase	carbonyl reductase
101	enzyme	glucose dehydrogenase	glucose dehydrogenase
102	substrate	(S)-4-chloro-3-hydroxybutanoate	(S)-4-chloro-3-hydroxybutanoate
103	microbiome	Bacillus sp. TS-23	Bacillus sp. TS-23
104	enzyme	alkaline a-amylase	alkaline a-amylase
105	substrate	soluble starch	soluble starch
106	microbiome	Bacillus cereus	Bacillus cereus
107	enzyme	9-methyl-1,4,5,8-tetra-azaphenanthrene	9-methyl-1,4,5,8-tetra-azaphenanthrene
108	enzyme	ethanol	ethanol
109	microbiome	Escherichia coli O157:H7	Escherichia coli O157:H7
110	enzyme	Shiga toxin 1	Shiga toxin 1
111	enzyme	Shiga toxin 2	Shiga toxin 2
